exercise_title,equipment,primary_muscle,other_muscles,exercise_type,format,unit,media_url
21s Bicep Curl,Barbell,Biceps,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00311201-Barbell-Curl_Upper-Arms.mp4
Ab Scissors,None,Abdominals,,Bodyweight Reps,REPS,,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/62141201-Lying-Scissors-Cross-(male
Ab Wheel,Other,Abdominals,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08571201-Wheel-Rollout_Waist.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/08571201-Wheel-Rollout_Waist.mp4
Aerobics,None,Cardio,,Duration,TIME,,
Air Bike,Machine,Cardio,,Distance & Duration,TIME, KM,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/38931101-Assault-Bike-Run_Cardio_small.jpg](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/38931101-Assault-Bike-Run_Cardio_small.jpg
Arnold Press (Dumbbell),Dumbbell,Shoulders,Triceps,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02871201-Dumbbell-Arnold-Press-II_Shoulders.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02871201-Dumbbell-Arnold-Press-II_Shoulders.mp4
Around The World,Dumbbell,Chest,Upper Back;Shoulders;Lats,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02881201-Dumbbell-Around-Pullover_Chest.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02881201-Dumbbell-Around-Pullover_Chest.mp4
Assisted Pistol Squats,None,Quadriceps,Hamstrings;Glutes,Assisted Bodyweight,REPS, -KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/23751201-Single-Leg-Squat-with-Support-(female
Back Extension (Hyperextension),Machine,Lower Back,Hamstrings;Glutes,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/18601201-Hyperextension-(VERSION-2
Back Extension (Machine),Machine,Lower Back,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05731201-Lever-Back-Extension_Waist.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/05731201-Lever-Back-Extension_Waist.mp4
Back Extension (Weighted Hyperextension),Machine,Lower Back,Hamstrings;Glutes,Weighted Bodyweight,REPS, +KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/57821201-Weighted-Hyperextension-(female
Ball Slams,Other,Full Body,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/75351201-Medicine-Ball-Slam-(VERSION-2
Band Pullaparts,Resistance Band,Shoulders,Upper Back,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/45681201-Resistance-Band-Pull-Apart_Shoulders_.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/45681201-Resistance-Band-Pull-Apart_Shoulders_.mp4
Battle Ropes,Machine,Cardio,,Duration,TIME,,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01281201-Battling-Ropes.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01281201-Battling-Ropes.mp4
Behind the Back Bicep Wrist Curl (Barbell),Barbell,Forearms,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/63651201-EZ-Barbell-Standing-Back-Wrist-Curl_Forearms_.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/63651201-EZ-Barbell-Standing-Back-Wrist-Curl_Forearms_.mp4
Behind the Back Curl (Cable),Machine,Biceps,,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/48381201-Cable-Unilateral-Bicep-Curl_Upper-Arms_.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/48381201-Cable-Unilateral-Bicep-Curl_Upper-Arms_.mp4
Belt Squat (Machine),Machine,Quadriceps,Glutes;Hamstrings,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29501201-Lever-Belt-Squat_Thighs_.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/29501201-Lever-Belt-Squat_Thighs_.mp4
Bench Dip,Other,Triceps,Shoulders;Chest,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/13991201-Bench-dip-on-floor_Upper-Arms.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/13991201-Bench-dip-on-floor_Upper-Arms.mp4
Bench Press (Barbell),Barbell,Chest,Triceps;Shoulders,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00251201-Barbell-Bench-Press_Chest.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/00251201-Barbell-Bench-Press_Chest.mp4
Bench Press (Cable),Machine,Chest,Shoulders;Triceps,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01511201-Cable-Bench-Press_Chest.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/01511201-Cable-Bench-Press_Chest.mp4
Bench Press (Dumbbell),Dumbbell,Chest,Triceps;Shoulders,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02891201-Dumbbell-Bench-Press_Chest.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/02891201-Dumbbell-Bench-Press_Chest.mp4
Bench Press (Smith Machine),Machine,Chest,Shoulders;Triceps,Weight & Reps,REPS, KG,https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07481201-Smith-Bench-Press_Chest.mp4](https://d2l9nsnmtah87f.cloudfront.net/exercise-assets/07481201-Smith-Bench-Press_Chest.mp4
