title,start_time,end_time,description,exercise_title,superset_id,exercise_notes,set_index,set_type,weight_lbs,reps,distance_miles,duration_seconds,rpe
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,ABC,,,0,normal,,,2,1200,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,0,warmup,30,20,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,1,warmup,88.18,10,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,2,warmup,132.28,8,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,3,warmup,220.46,8,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,4,normal,256.29,9,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,5,normal,256.29,9,,,
Afternoon workout ??,"1 Dec 2025, 12:05","1 Dec 2025, 13:29",,DEF,,,6,normal,256.29,11,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,0,warmup,44.09,20,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,1,warmup,88.18,10,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,2,warmup,132.28,8,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,3,warmup,220.46,8,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,4,normal,256.29,9,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,5,normal,256.29,9,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Bench Press (Smith Machine),,,6,normal,256.29,11,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Seated Overhead Press (Smith Machine),0,,0,warmup,44.09,10,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Seated Overhead Press (Smith Machine),0,,1,warmup,110.23,8,,,
Day 1 ??Upper Day,"1 Dec 2025, 08:02","1 Dec 2025, 09:13",,Seated Overhead Press (Smith Machine),0,,2,normal,165.35,8,,,
